epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8025,1.36389,0.65441,1.59848,0.92549,0.91801,0.96903,0.51939,1.60042,0.71255,1.91556,0.0672374,0.000330935,0.000330935
2,188.365,1.33966,0.6242,1.59224,0.94235,0.94338,0.96383,0.44906,1.75639,0.69396,2.17646,0.0341716,0.000598506,0.000598506
3,279.513,1.32641,0.61556,1.57689,0.93613,0.94126,0.97403,0.53058,1.59389,0.65095,1.88746,0.00103988,0.000800077,0.000800077
4,370.761,1.32299,0.60462,1.5743,0.9452,0.92735,0.96979,0.53421,1.53128,0.65652,1.82847,0.000703,0.000703,0.000703
5,462.799,1.30151,0.58226,1.55252,0.94693,0.9403,0.982,0.53957,1.54199,0.62441,1.82611,0.000604,0.000604,0.000604
6,553.275,1.27232,0.5601,1.53269,0.9536,0.93872,0.97721,0.55599,1.53294,0.60255,1.82379,0.000505,0.000505,0.000505
7,648.737,1.2377,0.53567,1.49724,0.95789,0.94974,0.9842,0.58318,1.50049,0.58518,1.77608,0.000406,0.000406,0.000406
8,742.379,1.21475,0.5164,1.47573,0.92805,0.96135,0.98097,0.56898,1.51411,0.58136,1.79037,0.000307,0.000307,0.000307
9,840.179,1.18069,0.49688,1.44994,0.94794,0.95012,0.98181,0.57317,1.51217,0.56893,1.81316,0.000208,0.000208,0.000208
10,934.51,1.1467,0.48368,1.43298,0.95047,0.94729,0.98297,0.58391,1.49298,0.5651,1.78008,0.000109,0.000109,0.000109
